District Name,Neighborhood Name,Weekday,Year,Month,Day,Victims
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,1,8,1
Sants-Montjuïc,el Poble-sec,Sunday,2018,1,28,0
Sants-Montjuïc,la Marina del Prat Vermell,Wednesday,2018,7,4,1
Sants-Montjuïc,la Marina del Prat Vermell,Sunday,2018,2,4,2
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,9,14,0
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Monday,2018,3,19,0
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,9,21,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,10,26,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,12,13,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,9,20,2
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,10,11,1
Sants-Montjuïc,la Marina del Prat Vermell,Saturday,2018,3,17,2
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,5,14,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,10,8,4
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,5,10,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,5,11,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,1,16,3
Sants-Montjuïc,la Marina del Prat Vermell,Wednesday,2018,4,11,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,3,13,4
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,2,27,0
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,10,11,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,6,19,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,9,6,2
Sants-Montjuïc,la Marina del Prat Vermell,Wednesday,2018,11,7,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,1,30,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,4,27,2
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,2,16,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,1,16,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,7,3,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,11,2,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,12,7,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,3,16,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,10,9,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,3,5,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,4,26,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,5,7,0
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,12,28,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,8,6,3
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,5,4,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,4,3,2
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,9,28,2
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,12,4,2
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,7,10,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,10,29,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,3,12,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,10,2,0
Sants-Montjuïc,la Marina del Prat Vermell,Wednesday,2018,5,16,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,9,4,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,12,10,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,4,20,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,1,4,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,2,23,1
Sants-Montjuïc,la Marina del Prat Vermell,Saturday,2018,10,6,1
Sants-Montjuïc,la Marina del Prat Vermell,Wednesday,2018,12,19,1
Sants-Montjuïc,la Marina del Prat Vermell,Monday,2018,12,17,1
Sants-Montjuïc,la Marina del Prat Vermell,Saturday,2018,8,4,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,2,15,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,2,15,1
Sants-Montjuïc,la Marina del Prat Vermell,Thursday,2018,12,27,1
Sants-Montjuïc,la Marina del Prat Vermell,Tuesday,2018,2,20,1
Sants-Montjuïc,la Marina del Prat Vermell,Friday,2018,4,13,1
