Y,M,D,Holiday,Yesterday accidents
2017,1,1,1,18
2017,1,2,0,22
2017,1,3,0,18
2017,1,4,0,29
2017,1,5,0,28
2017,1,6,1,34
2017,1,7,0,11
2017,1,8,0,24
2017,1,9,0,16
2017,1,10,0,28
2017,1,11,0,35
2017,1,12,0,32
2017,1,13,0,32
2017,1,14,0,41
2017,1,15,0,33
2017,1,16,0,12
2017,1,17,0,37
2017,1,18,0,42
2017,1,19,0,27
2017,1,20,0,22
2017,1,21,0,42
2017,1,22,0,17
2017,1,23,0,12
2017,1,24,0,30
2017,1,25,0,27
2017,1,26,0,20
2017,1,27,0,32
2017,1,28,0,33
2017,1,29,0,25
2017,1,30,0,23
2017,1,31,0,33
2017,2,1,0,27
2017,2,2,0,40
2017,2,3,0,31
2017,2,4,0,33
2017,2,5,0,14
2017,2,6,0,18
2017,2,7,0,27
2017,2,8,0,31
2017,2,9,0,38
2017,2,10,0,36
2017,2,11,0,38
2017,2,12,0,22
2017,2,13,0,15
2017,2,14,0,27
2017,2,15,0,40
2017,2,16,0,36
2017,2,17,0,29
2017,2,18,0,35
2017,2,19,0,28
2017,2,20,0,14
2017,2,21,0,28
2017,2,22,0,36
2017,2,23,0,27
2017,2,24,0,27
2017,2,25,0,46
2017,2,26,0,19
2017,2,27,0,20
2017,2,28,0,29
2017,3,1,0,40
2017,3,2,0,38
2017,3,3,0,33
2017,3,4,0,35
2017,3,5,0,31
2017,3,6,0,20
2017,3,7,0,32
2017,3,8,0,27
2017,3,9,0,35
2017,3,10,0,40
2017,3,11,0,27
2017,3,12,0,20
2017,3,13,0,13
2017,3,14,0,24
2017,3,15,0,30
2017,3,16,0,30
2017,3,17,0,37
2017,3,18,0,41
2017,3,19,0,23
2017,3,20,0,15
2017,3,21,0,33
2017,3,22,0,28
2017,3,23,0,33
2017,3,24,0,37
2017,3,25,0,51
2017,3,26,0,20
2017,3,27,0,13
2017,3,28,0,25
2017,3,29,0,41
2017,3,30,0,35
2017,3,31,0,30
2017,4,1,0,38
2017,4,2,0,23
2017,4,3,0,36
2017,4,4,0,34
2017,4,5,0,36
2017,4,6,0,46
2017,4,7,0,38
2017,4,8,0,29
2017,4,9,0,13
2017,4,10,0,20
2017,4,11,0,35
2017,4,12,0,18
2017,4,13,0,29
2017,4,14,1,33
2017,4,15,0,21
2017,4,16,0,19
2017,4,17,1,7
2017,4,18,0,13
2017,4,19,0,27
2017,4,20,0,38
2017,4,21,0,31
2017,4,22,0,49
2017,4,23,0,28
2017,4,24,0,16
2017,4,25,0,26
2017,4,26,0,40
2017,4,27,0,25
2017,4,28,0,45
2017,4,29,0,28
2017,4,30,0,22
2017,5,1,1,20
2017,5,2,0,13
2017,5,3,0,45
2017,5,4,0,36
2017,5,5,0,31
2017,5,6,0,31
2017,5,7,0,33
2017,5,8,0,18
2017,5,9,0,42
2017,5,10,0,50
2017,5,11,0,24
2017,5,12,0,38
2017,5,13,0,38
2017,5,14,0,26
2017,5,15,0,20
2017,5,16,0,38
2017,5,17,0,28
2017,5,18,0,33
2017,5,19,0,32
2017,5,20,0,34
2017,5,21,0,26
2017,5,22,0,21
2017,5,23,0,39
2017,5,24,0,29
2017,5,25,0,27
2017,5,26,0,33
2017,5,27,0,45
2017,5,28,0,18
2017,5,29,0,14
2017,5,30,0,29
2017,5,31,0,27
2017,6,1,0,45
2017,6,2,0,31
2017,6,3,0,41
2017,6,4,0,15
2017,6,5,0,21
2017,6,6,0,17
2017,6,7,0,34
2017,6,8,0,27
2017,6,9,0,44
2017,6,10,0,42
2017,6,11,0,29
2017,6,12,0,11
2017,6,13,0,42
2017,6,14,0,38
2017,6,15,0,25
2017,6,16,0,35
2017,6,17,0,39
2017,6,18,0,26
2017,6,19,0,17
2017,6,20,0,45
2017,6,21,0,34
2017,6,22,0,30
2017,6,23,0,31
2017,6,24,0,30
2017,6,25,0,8
2017,6,26,0,16
2017,6,27,0,45
2017,6,28,0,32
2017,6,29,0,26
2017,6,30,0,35
2017,7,1,0,42
2017,7,2,0,14
2017,7,3,0,16
2017,7,4,0,32
2017,7,5,0,46
2017,7,6,0,49
2017,7,7,0,30
2017,7,8,0,35
2017,7,9,0,13
2017,7,10,0,20
2017,7,11,0,29
2017,7,12,0,39
2017,7,13,0,37
2017,7,14,0,42
2017,7,15,0,30
2017,7,16,0,25
2017,7,17,0,24
2017,7,18,0,40
2017,7,19,0,42
2017,7,20,0,30
2017,7,21,0,40
2017,7,22,0,36
2017,7,23,0,21
2017,7,24,0,16
2017,7,25,0,33
2017,7,26,0,36
2017,7,27,0,28
2017,7,28,0,26
2017,7,29,0,35
2017,7,30,0,13
2017,7,31,0,21
2017,8,1,0,20
2017,8,2,0,21
2017,8,3,0,36
2017,8,4,0,34
2017,8,5,0,25
2017,8,6,0,19
2017,8,7,0,17
2017,8,8,0,27
2017,8,9,0,22
2017,8,10,0,22
2017,8,11,0,29
2017,8,12,0,24
2017,8,13,0,16
2017,8,14,0,17
2017,8,15,1,25
2017,8,16,0,13
2017,8,17,0,26
2017,8,18,0,24
2017,8,19,0,18
2017,8,20,0,13
2017,8,21,0,12
2017,8,22,0,11
2017,8,23,0,21
2017,8,24,0,15
2017,8,25,0,19
2017,8,26,0,16
2017,8,27,0,11
2017,8,28,0,12
2017,8,29,0,23
2017,8,30,0,16
2017,8,31,0,32
2017,9,1,0,36
2017,9,2,0,26
2017,9,3,0,25
2017,9,4,0,7
2017,9,5,0,27
2017,9,6,0,27
2017,9,7,0,16
2017,9,8,0,28
2017,9,9,0,26
2017,9,10,0,19
2017,9,11,0,13
2017,9,12,0,11
2017,9,13,0,33
2017,9,14,0,29
2017,9,15,0,24
2017,9,16,0,34
2017,9,17,0,28
2017,9,18,0,16
2017,9,19,0,31
2017,9,20,0,37
2017,9,21,0,36
2017,9,22,0,31
2017,9,23,0,37
2017,9,24,0,22
2017,9,25,0,23
2017,9,26,0,13
2017,9,27,0,32
2017,9,28,0,24
2017,9,29,0,30
2017,9,30,0,42
2017,10,1,0,22
2017,10,2,0,18
2017,10,3,0,34
2017,10,4,0,27
2017,10,5,0,40
2017,10,6,0,30
2017,10,7,0,32
